time,ping
1645219101.3911,0.191 ms
1645219101.7264688,0.206 ms
1645219102.0621412,0.199 ms
1645219102.39747,0.168 ms
1645219102.7330124,0.168 ms
1645219103.0687323,0.159 ms
1645219103.404458,0.180 ms
1645219103.7400343,0.202 ms
1645219104.0756948,0.184 ms
1645219104.4113808,0.187 ms
1645219104.746949,0.170 ms
1645219105.0826292,0.201 ms
1645219105.4183624,0.133 ms
1645219105.7539074,0.138 ms
1645219106.0893815,0.182 ms
1645219106.4249866,0.185 ms
1645219106.760552,0.171 ms
1645219107.0961564,0.164 ms
1645219107.4317117,0.174 ms
1645219107.7673814,0.184 ms
1645219108.102919,0.156 ms
1645219108.4384913,0.159 ms
1645219108.7741287,0.172 ms
1645219109.109712,0.139 ms
1645219109.4453666,0.185 ms
1645219109.780969,0.169 ms
1645219110.1167095,0.208 ms
1645219110.4524758,0.204 ms
1645219110.788482,0.183 ms
1645219111.1241012,0.197 ms
1645219111.4598145,0.179 ms
1645219111.795478,0.173 ms
1645219112.1310809,0.143 ms
1645219112.4666967,0.201 ms
1645219112.8023505,0.195 ms
1645219113.1379728,0.163 ms
1645219113.4736009,0.182 ms
1645219113.80927,0.157 ms
1645219114.1453998,0.198 ms
1645219114.4810452,0.161 ms
1645219114.8166454,0.159 ms
1645219115.1523793,0.142 ms
1645219115.4886978,0.172 ms
1645219115.8244975,0.210 ms
1645219116.160148,0.170 ms
1645219116.4957232,0.189 ms
1645219116.831486,0.199 ms
1645219117.1672754,0.225 ms
1645219117.5029237,0.137 ms
1645219117.838476,0.175 ms
1645219118.1739993,0.184 ms
1645219118.5098133,0.184 ms
1645219118.8454816,0.178 ms
1645219119.1810548,0.192 ms
1645219119.516703,0.159 ms
1645219119.8523195,0.182 ms
1645219120.1881306,0.161 ms
1645219120.5237794,0.166 ms
1645219120.8594599,0.144 ms
1645219121.195033,0.158 ms
1645219121.530693,0.110 ms
1645219121.8662562,0.204 ms
1645219122.2019286,0.150 ms
1645219122.5374763,0.158 ms
1645219122.8730643,0.175 ms
1645219123.20912,0.148 ms
1645219123.5446014,0.188 ms
1645219123.880357,0.205 ms
1645219124.2159228,0.164 ms
1645219124.5515888,0.183 ms
1645219124.8873332,0.204 ms
1645219125.222959,0.188 ms
1645219125.5586824,0.181 ms
1645219125.8943012,0.192 ms
1645219126.2300034,0.163 ms
1645219126.5656776,0.205 ms
1645219126.9014413,0.173 ms
1645219127.2370443,0.203 ms
1645219127.5727088,0.164 ms
1645219127.9083784,0.188 ms
1645219128.244359,0.159 ms
1645219128.5799546,0.167 ms
1645219128.9154723,0.186 ms
1645219129.251023,0.171 ms
1645219129.5864654,0.202 ms
1645219129.9220977,0.144 ms
1645219130.2576208,0.163 ms
1645219130.593306,0.164 ms
1645219130.9289567,0.185 ms
1645219131.2646773,0.184 ms
1645219131.6002944,0.135 ms
1645219131.9358616,0.151 ms
1645219132.2714386,0.159 ms
1645219132.607077,0.178 ms
1645219132.9427583,0.153 ms
1645219133.278268,0.138 ms
1645219133.6138453,0.176 ms
1645219133.9494135,0.161 ms
1645219134.2850277,0.169 ms
1645219134.6207042,0.181 ms
1645219134.9563198,0.173 ms
1645219135.2919064,0.136 ms
1645219135.6273935,0.133 ms
1645219135.962971,0.136 ms
1645219136.2985165,0.195 ms
1645219136.6341002,0.203 ms
1645219136.9697535,0.165 ms
1645219137.3053787,0.200 ms
1645219137.641054,0.203 ms
1645219137.976752,0.153 ms
1645219138.3124762,0.166 ms
1645219138.648412,0.133 ms
1645219138.9840322,0.174 ms
1645219139.3196056,0.181 ms
1645219139.6551695,0.200 ms
1645219139.990796,0.184 ms
1645219140.3265626,0.156 ms
1645219140.6622667,0.160 ms
1645219140.9979773,0.196 ms
1645219141.3336303,0.187 ms
1645219141.6692712,0.189 ms
1645219142.0048757,0.158 ms
1645219142.3404074,0.181 ms
1645219142.675961,0.182 ms
1645219143.0115952,0.184 ms
1645219143.3472574,0.133 ms
1645219143.6828005,0.154 ms
1645219144.0184755,0.186 ms
1645219144.3540633,0.188 ms
1645219144.6896462,0.161 ms
1645219145.0253024,0.154 ms
1645219145.3616295,0.137 ms
1645219145.6977658,0.139 ms
1645219146.0335073,0.192 ms
1645219146.369138,0.166 ms
1645219146.7047284,0.186 ms
1645219147.0405173,0.135 ms
1645219147.3761134,0.198 ms
1645219147.7116508,0.136 ms
1645219148.047296,0.154 ms
1645219148.3829145,0.147 ms
1645219148.7184834,0.184 ms
1645219149.0540981,0.198 ms
1645219149.389763,0.165 ms
1645219149.7254727,0.184 ms
1645219150.0610878,0.201 ms
1645219150.3967557,0.159 ms
1645219150.7324622,0.160 ms
1645219151.0683575,0.138 ms
1645219151.404157,0.181 ms
1645219151.7396731,0.185 ms
1645219152.075384,0.184 ms
1645219152.4110172,0.172 ms
1645219152.7466712,0.181 ms
1645219153.0820568,0.215 ms
1645219153.417761,0.159 ms
1645219153.753438,0.168 ms
1645219154.088944,0.158 ms
1645219154.424594,0.138 ms
1645219154.7601497,0.195 ms
1645219155.0958395,0.159 ms
1645219155.4314241,0.208 ms
1645219155.7670913,0.173 ms
1645219156.1026955,0.183 ms
1645219156.4383616,0.142 ms
1645219156.7740216,0.174 ms
1645219157.1097198,0.184 ms
1645219157.4454281,0.148 ms
1645219157.7810044,0.176 ms
1645219158.1166506,0.160 ms
1645219158.4523284,0.192 ms
1645219158.7879326,0.138 ms
1645219159.123425,0.186 ms
1645219159.4590952,0.201 ms
1645219159.794779,0.162 ms
1645219160.130365,0.199 ms
1645219160.465994,0.202 ms
