time,0,1,2,3,4,5,6,7
1645219472.4485166,32.0,31.0,30.0,31.0,30.0,29.0,31.0,36.0
1645219472.7843213,32.0,31.0,30.0,31.0,30.0,29.0,31.0,36.0
1645219473.119833,32.0,31.0,30.0,31.0,30.0,29.0,31.0,36.0
1645219473.4553304,30.0,30.0,29.0,28.0,29.0,29.0,29.0,30.0
1645219473.7909856,30.0,30.0,29.0,28.0,29.0,29.0,29.0,30.0
1645219474.1264806,30.0,30.0,29.0,28.0,29.0,29.0,29.0,30.0
1645219474.4618692,32.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219474.7973585,32.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219475.1327527,32.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219475.4682336,30.0,31.0,31.0,29.0,30.0,30.0,30.0,31.0
1645219475.8044717,30.0,31.0,31.0,29.0,30.0,30.0,30.0,31.0
1645219476.1399446,30.0,31.0,31.0,29.0,30.0,30.0,30.0,31.0
1645219476.4754388,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219476.811073,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219477.146661,30.0,30.0,29.0,29.0,30.0,29.0,30.0,30.0
1645219477.4821184,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219477.8178396,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219478.1533,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219478.488756,31.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219478.8243613,31.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219479.1597693,31.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219479.495182,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219479.8308725,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219480.166446,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219480.5014646,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219480.8371072,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219481.1725576,30.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219481.508049,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219481.8437402,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219482.179161,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219482.5145717,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219482.8502302,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219483.1856894,31.0,31.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219483.5211217,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219483.8567805,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219484.1921792,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219484.5276604,31.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219484.863303,31.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219485.1987407,31.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219485.5342116,30.0,30.0,28.0,29.0,30.0,29.0,29.0,30.0
1645219485.8698015,30.0,30.0,28.0,29.0,30.0,29.0,29.0,30.0
1645219486.2052047,30.0,30.0,28.0,29.0,30.0,29.0,29.0,30.0
1645219486.5406868,31.0,30.0,28.0,29.0,30.0,29.0,30.0,31.0
1645219486.8762977,31.0,30.0,28.0,29.0,30.0,29.0,30.0,31.0
1645219487.2117202,31.0,30.0,28.0,29.0,30.0,29.0,30.0,31.0
1645219487.5471728,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219487.8827727,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219488.218189,30.0,30.0,29.0,29.0,30.0,29.0,29.0,30.0
1645219488.5536387,31.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219488.889287,31.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219489.2247336,31.0,30.0,29.0,29.0,29.0,29.0,30.0,30.0
1645219489.5601358,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219489.895731,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219490.2312202,30.0,30.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219490.5667121,31.0,30.0,29.0,29.0,29.0,29.0,30.0,31.0
1645219490.9023592,31.0,30.0,29.0,29.0,29.0,29.0,30.0,31.0
1645219491.237802,31.0,30.0,29.0,29.0,29.0,29.0,30.0,31.0
1645219491.57325,30.0,30.0,28.0,29.0,30.0,29.0,29.0,30.0
