"","x"
"1",1290
"2",1260
"3",1200
"4",1230
"5",1200
"6",1290
"7",1200
"8",1230
"9",1200
"10",1260
"11",1260
"12",1200
"13",1230
"14",1260
"15",1260
"16",1170
"17",1230
"18",1320
"19",1350
"20",1290
"21",1260
"22",1230
"23",1290
"24",1380
"25",1290
"26",1140
"27",1170
"28",1290
"29",1250
"30",1230
"31",1305
"32",1140
"33",1290
"34",1230
"35",1290
"36",1185
"37",1320
"38",1290
"39",1210
"40",6
"41",1290
"42",1200
"43",1290
"44",1260
"45",1230
"46",1260
"47",1290
"48",1320
"49",1200
"50",1410
"51",1230
"52",1260
"53",1320
"54",1170
"55",1410
"56",1203
"57",1230
"58",1410
"59",1365
"60",0
"61",1290
"62",1290
"63",1200
"64",1290
"65",1200
"66",1350
"67",1230
"68",1260
"69",1350
"70",1350
"71",1230
"72",0
"73",120
"74",1350
"75",0
"76",1320
"77",1200
"78",1320
"79",1260
"80",1230
"81",1230
"82",1290
"83",1230
"84",1320
"85",1290
"86",1200
"87",1320
"88",1200
"89",1260
"90",120
"91",1320
"92",1215
"93",1290
"94",1200
"95",1290
"96",1140
"97",1320
"98",1230
"99",1260
"100",1230
"101",1200
"102",1260
"103",1200
"104",1320
"105",1380
"106",1320
"107",1260
"108",1350
"109",1200
"110",1320
"111",1110
"112",1350
"113",1200
"114",1245
"115",1200
"116",1290
"117",1170
"118",1230
"119",1320
"120",1200
"121",1230
"122",1320
"123",1275
"124",1320
"125",1200
"126",1275
"127",1140
"128",1350
"129",1260
"130",1170
"131",1320
"132",1290
"133",1290
"134",1320
"135",1410
"136",1260
"137",1200
"138",1340
"139",1335
"140",1185
"141",1290
"142",1140
"143",1140
"144",1260
"145",1230
"146",1230
"147",1410
"148",1380
"149",1320
"150",1200
"151",1200
"152",1260
"153",1203
"154",1290
"155",1290
"156",1170
"157",1320
"158",1260
"159",1290
"160",1230
"161",1260
"162",1260
"163",1335
"164",1275
"165",1260
"166",1170
"167",30
"168",1260
"169",1320
"170",1170
"171",1260
"172",1215
"173",1300
"174",1350
"175",1230
"176",1380
"177",1245
"178",1380
"179",1140
"180",1335
"181",1260
"182",1200
"183",1260
"184",1300
"185",1275
"186",1260
"187",1320
"188",1320
"189",1230
"190",1335
"191",1260
"192",1230
"193",1290
"194",1290
"195",1260
"196",1305
"197",1275
"198",1260
"199",1230
"200",1245
"201",1290
"202",1320
"203",1350
"204",1260
"205",1290
"206",1215
"207",1320
"208",1260
"209",1140
"210",1260
"211",1260
"212",1410
"213",1275
"214",1260
"215",1215
"216",1320
"217",1305
"218",1155
"219",1200
"220",1320
"221",1260
"222",1290
"223",1230
"224",1260
"225",1315
"226",1170
"227",1200
"228",1385
"229",1260
"230",1320
"231",1190
"232",1230
"233",1260
"234",0
"235",1260
"236",1290
"237",1290
"238",1260
"239",1200
"240",1320
"241",1320
"242",1140
"243",1260
"244",1230
"245",1200
"246",1290
"247",1260
"248",1260
"249",1200
"250",1260
"251",1350
"252",1290
"253",1200
"254",1230
"255",1320
"256",1260
"257",1290
"258",1305
"259",1200
"260",1275
"261",1320
"262",1200
"263",1320
"264",1200
"265",1200
"266",1140
"267",1290
"268",1230
"269",1260
"270",1320
"271",1200
"272",1270
"273",1140
"274",1320
"275",1380
"276",1230
"277",1260
"278",1240
"279",1320
"280",1320
"281",1400
"282",1200
"283",1320
"284",1200
"285",1140
"286",1200
"287",0
"288",1290
"289",1380
"290",1320
"291",1200
"292",1230
"293",1260
"294",1230
"295",1230
"296",0
"297",1260
"298",1230
"299",1335
"300",1335
"301",1305
"302",1140
"303",1305
"304",1200
"305",1260
"306",1320
"307",1350
"308",1290
"309",1200
"310",1290
"311",1290
"312",1290
"313",1200
"314",1230
"315",1290
"316",1290
"317",1380
"318",1200
"319",60
"320",1290
"321",1320
"322",1170
"323",1080
"324",1230
"325",1260
"326",1290
"327",1320
"328",1290
"329",1320
"330",1230
"331",1425
"332",1290
"333",1350
"334",1230
"335",1215
"336",1305
"337",1260
"338",1230
"339",1275
"340",1320
"341",1230
"342",1260
"343",1290
"344",1230
"345",1185
"346",1230
"347",1230
"348",1170
"349",1230
"350",1275
"351",1320
"352",1290
"353",1380
"354",1350
"355",1230
"356",1320
"357",1410
"358",1350
"359",1260
"360",1380
"361",1230
"362",1320
"363",1305
"364",1200
"365",1260
"366",1290
"367",1320
"368",1260
"369",1320
"370",1320
"371",1275
"372",1170
"373",1260
"374",1350
"375",1320
"376",1290
"377",1230
"378",1200
"379",1200
"380",1230
"381",1230
"382",1225
"383",1200
"384",1290
"385",1320
"386",1320
"387",1200
"388",1200
"389",1215
"390",1280
"391",1230
"392",1230
"393",1330
"394",1365
"395",1350
"396",1290
"397",1380
"398",1380
"399",1290
"400",1200
"401",1185
"402",1320
"403",1290
"404",1290
"405",1275
"406",1245
"407",1215
"408",1200
"409",1320
"410",1200
"411",1140
"412",1260
"413",1245
"414",1230
"415",1230
"416",1215
"417",0
"418",1290
"419",1245
"420",1260
"421",1260
"422",1290
"423",1290
"424",540
"425",1320
"426",1320
"427",1290
"428",1380
"429",1260
"430",1380
"431",1230
"432",1245
"433",1260
"434",1380
"435",1280
"436",1290
"437",1200
"438",1320
"439",1290
"440",1280
"441",1350
"442",1335
"443",1200
"444",720
"445",1320
"446",1260
"447",1290
"448",1260
"449",1320
"450",1260
"451",1320
"452",1320
"453",1290
"454",1200
"455",1380
"456",1290
"457",1200
"458",1260
"459",1350
"460",1260
"461",1260
"462",1380
"463",1260
"464",1170
"465",1275
"466",1245
"467",1205
"468",1200
"469",1260
"470",1185
"471",1200
"472",1335
"473",1320
"474",1215
"475",0
"476",1200
"477",1240
"478",1215
"479",1380
"480",1260
"481",0
"482",1260
"483",1170
"484",1260
"485",15
"486",1290
"487",1290
"488",1320
"489",1230
"490",1290
"491",1270
"492",1270
"493",1215
"494",1140
"495",1290
"496",1230
"497",1200
"498",1210
"499",1305
"500",1200
"501",1320
"502",1380
"503",1260
"504",1380
"505",1245
"506",1260
"507",1200
"508",1230
"509",1305
"510",1320
"511",1200
"512",1260
"513",1260
"514",1170
"515",1230
"516",1275
"517",1200
"518",1380
"519",1290
"520",1380
"521",1320
"522",1260
"523",0
"524",1205
"525",1260
"526",1230
"527",1380
"528",1230
"529",1260
"530",1290
"531",1410
"532",1380
"533",1320
"534",1260
"535",1350
"536",1260
"537",1320
"538",1320
"539",1290
"540",1380
"541",1380
"542",1410
"543",1200
"544",1200
"545",60
"546",1260
"547",1320
"548",1350
"549",1290
"550",1200
"551",1230
"552",1290
"553",1410
"554",1290
"555",1290
"556",1320
"557",1320
"558",1320
"559",1170
"560",1170
"561",1380
"562",30
"563",1200
"564",1260
"565",1320
"566",1200
"567",1380
"568",1305
"569",1230
"570",1290
"571",1260
"572",1170
"573",1200
"574",0
"575",1230
"576",1200
"577",1140
"578",1320
"579",150
"580",1170
"581",1305
"582",1290
"583",1285
"584",0
"585",30
"586",1290
"587",240
"588",1380
"589",0
"590",1201
"591",0
"592",1110
"593",1260
"594",1275
"595",0
"596",1380
"597",1380
"598",1245
"599",1320
"600",1230
"601",1170
"602",1260
"603",120
"604",1320
"605",1200
"606",1320
"607",1095
"608",1380
"609",1380
"610",1260
"611",1350
"612",1290
"613",0
"614",1260
"615",1380
"616",1320
"617",1350
"618",1320
"619",1260
"620",1290
"621",60
"622",1290
"623",0
"624",1335
"625",1200
"626",1245
"627",1185
"628",1260
"629",1350
"630",1260
"631",1235
"632",1260
"633",1350
"634",1290
"635",1230
"636",1200
"637",1170
"638",1290
"639",1275
"640",1200
"641",60
"642",1230
"643",1380
"644",1260
"645",1240
"646",1305
"647",1290
"648",1320
"649",1230
"650",1245
"651",1350
"652",60
"653",1290
"654",1260
"655",1410
"656",1260
"657",1320
"658",1380
"659",1220
"660",1260
"661",1260
"662",1320
"663",1350
"664",1200
"665",1350
"666",1260
"667",1290
"668",1320
"669",1230
"670",1202
"671",1320
"672",1305
"673",1380
"674",1260
"675",1340
"676",1260
"677",1200
"678",1200
"679",1215
"680",1320
"681",1260
"682",1380
"683",1350
"684",1245
"685",1275
"686",120
"687",1350
"688",1260
"689",1410
"690",1320
"691",1320
"692",1350
"693",1260
"694",1350
"695",1290
"696",0
"697",1200
"698",1350
"699",1275
"700",1170
"701",1410
"702",1260
"703",1290
"704",1230
"705",1140
"706",1380
"707",1320
"708",1320
"709",1320
"710",1335
"711",1320
"712",1260
"713",1290
"714",30
"715",1335
"716",1320
"717",1320
"718",1290
"719",1290
"720",1410
"721",1290
"722",1320
"723",1360
"724",1230
"725",1350
"726",1230
"727",1260
"728",1380
"729",1260
"730",1125
"731",1350
"732",1320
"733",1239
"734",1320
"735",1215
"736",1200
"737",1320
"738",1200
"739",1300
"740",1350
"741",1290
"742",1150
"743",1260
"744",1410
"745",1320
"746",1320
"747",1230
"748",1260
"749",1320
"750",1290
"751",1410
"752",1380
"753",1400
"754",1260
"755",1290
"756",1305
"757",1260
"758",1305
"759",1335
"760",1320
"761",120
"762",1230
"763",0
"764",1140
"765",1290
"766",1200
"767",1410
"768",1260
"769",1290
"770",1260
"771",1290
"772",1290
"773",1260
"774",0
"775",1290
"776",1260
"777",1290
"778",1275
"779",1350
"780",1380
"781",1200
"782",1275
"783",1200
"784",1260
"785",0
"786",1290
