"","x"
"640",600
"641",480
"642",540
"643",690
"644",540
"645",600
"646",510
"647",375
"648",420
"649",480
"650",420
"651",540
"652",830
"653",420
"654",480
"655",540
"656",360
"657",480
"658",540
"659",570
"660",450
"661",480
"662",720
"663",660
"664",360
"665",480
"666",480
"667",480
"668",570
"669",480
"670",240
"671",540
"672",600
"673",450
"674",375
"675",480
"676",360
"677",450
"678",510
"679",420
"680",405
"681",420
"682",480
"683",450
"684",360
"685",510
"686",420
"687",150
"688",420
"689",660
"690",480
"691",390
"692",480
"693",450
"694",390
"695",600
"696",480
"697",570
"698",555
"699",330
"700",450
"701",570
"702",420
"703",420
"704",480
"705",450
"706",540
"707",450
"708",360
"709",375
"710",390
"711",600
"712",540
"713",390
"714",240
"715",420
"716",570
"717",570
"718",450
"719",420
"720",420
"721",420
"722",360
"723",420
"724",600
"725",540
"726",510
"727",360
"728",540
"729",525
"730",240
"731",520
"732",390
"733",465
"734",360
"735",720
"736",375
"737",780
"738",300
"739",540
"740",380
"741",540
"742",540
"743",450
"744",540
"745",420
"746",420
"747",420
"748",390
"749",550
"750",420
"751",450
"752",390
"753",480
"754",540
"755",450
"756",330
"757",330
"758",630
"759",480
"760",330
"761",450
"762",450
"763",510
"764",570
"765",540
"766",375
"767",630
"768",300
"769",720
"770",345
"771",600
"772",480
"773",570
"774",480
"775",450
"776",420
"777",630
"778",540
"779",480
"780",390
"781",375
"782",510
"783",420
"784",480
"785",450
"786",450
"787",480
"788",480
"789",420
"790",465
"791",495
"792",600
"793",570
"794",360
"795",390
"796",540
"797",480
"798",570
"799",525
"800",420
"801",630
"802",360
"803",360
"804",600
"805",585
"806",380
"807",540
"808",420
"809",540
"810",540
"811",420
"812",420
"813",180
"814",510
"815",390
"816",420
"817",420
"818",540
"819",420
"820",450
"821",720
"822",540
"823",450
"824",540
"825",240
"826",690
"827",580
"828",390
"829",450
"830",660
"831",540
"832",555
"833",570
"834",390
"835",480
"836",360
"837",460
"838",420
"839",480
"840",420
"841",480
"842",390
"843",600
"844",570
"845",450
"846",420
"847",420
"848",420
"849",285
"850",240
"851",420
"852",480
"853",570
"854",570
"855",510
"856",420
"857",690
"858",600
"859",300
"860",240
"861",380
"862",480
"863",410
"864",480
"865",480
"866",420
"867",555
"868",420
"869",480
"870",540
"871",420
"872",360
"873",450
"874",495
"875",450
"876",540
"877",420
"878",540
"879",425
"880",510
"881",570
"882",435
"883",480
"884",330
"885",480
"886",360
"887",570
"888",660
"889",420
"890",450
"891",450
"892",630
"893",320
"894",480
"895",480
"896",540
"897",480
"898",450
"899",480
"900",480
"901",540
"902",450
"903",420
"904",390
"905",540
"906",510
"907",450
"908",480
"909",510
"910",480
"911",480
"912",360
"913",495
"914",450
"915",450
"916",510
"917",435
"918",600
"919",510
"920",360
"921",600
"922",450
"923",420
"924",660
"925",510
"926",405
"927",540
"928",360
"929",420
"930",405
"931",480
"932",540
"933",480
"934",480
"935",450
"936",420
"937",480
"938",450
"939",540
"940",360
"941",525
"942",365
"943",390
"944",630
"945",390
"946",420
"947",360
"948",660
"949",480
"950",600
"951",390
"952",525
"953",450
"954",390
"955",420
"956",495
"957",480
"958",450
"959",450
"960",480
"961",510
"962",510
"963",540
"964",420
"965",300
"966",420
"967",450
"968",420
"969",600
"970",570
"971",360
"972",390
"973",435
"974",360
"975",465
"976",630
"977",390
"978",540
"979",360
"980",600
"981",420
"982",525
"983",405
"984",525
"985",300
"986",330
"987",540
"988",540
"989",600
"990",440
"991",390
"992",450
"993",600
"994",480
"995",450
"996",450
"997",480
"998",480
"999",480
"1000",380
"1001",420
"1002",480
"1003",420
"1004",450
"1005",420
"1006",540
"1007",480
"1008",600
"1009",360
"1010",720
"1011",420
"1012",540
"1013",660
"1014",660
"1015",420
"1016",510
"1017",540
"1018",420
"1019",540
"1020",390
"1021",480
"1022",525
"1023",360
"1024",410
"1025",360
"1026",435
"1027",480
"1028",240
"1029",390
"1030",480
"1031",495
"1032",320
"1033",480
"1034",600
"1035",360
"1036",480
"1037",480
"1038",510
"1039",430
"1040",480
"1041",450
"1042",360
"1043",660
"1044",240
"1045",480
"1046",510
"1047",420
"1048",510
"1049",540
"1050",600
"1051",480
"1052",570
"1053",490
"1054",450
"1055",600
"1056",360
"1057",600
"1058",480
"1059",570
"1060",540
"1061",570
"1062",540
"1063",465
"1064",510
"1065",570
"1066",360
"1067",390
"1068",540
"1069",510
"1070",540
"1071",540
"1072",540
"1073",540
"1074",540
"1075",660
"1076",510
"1077",600
"1078",420
"1079",930
"1080",540
"1081",390
"1082",375
"1083",570
"1084",510
"1085",420
"1086",330
"1087",420
"1088",370
"1089",390
"1090",450
"1091",540
"1092",420
"1093",360
"1094",480
"1095",480
"1096",450
"1097",600
"1098",380
"1099",480
"1100",510
"1101",600
"1102",480
"1103",310
"1104",390
"1105",390
"1106",480
"1107",480
"1108",480
"1109",390
"1110",495
"1111",600
"1112",480
"1113",540
"1114",480
"1115",660
"1116",540
"1117",375
"1118",360
"1119",480
"1120",330
"1121",435
"1122",480
"1123",540
"1124",390
"1125",375
"1126",240
"1127",495
"1128",390
"1129",390
"1130",420
"1131",390
"1132",360
"1133",420
"1134",360
"1135",450
"1136",480
"1137",520
"1138",420
"1139",405
"1140",420
"1141",370
"1142",300
"1143",360
"1144",510
"1145",390
"1146",270
"1147",480
"1148",480
"1149",420
"1150",600
"1151",375
"1152",410
"1153",390
"1154",660
"1155",410
"1156",390
"1157",420
"1158",420
"1159",405
"1160",780
"1161",480
"1162",360
"1163",600
"1164",480
"1165",390
"1166",390
"1167",390
"1168",360
"1169",0
"1170",480
"1171",480
"1172",480
"1173",390
"1174",480
"1175",360
"1176",360
"1177",470
"1178",420
"1179",465
"1180",345
"1181",420
"1182",360
"1183",420
"1184",450
"1185",330
"1186",425
"1187",495
"1188",420
"1189",480
"1190",420
"1191",420
"1192",420
"1193",600
"1194",480
"1195",180
"1196",480
"1197",450
"1198",420
"1199",510
"1200",450
"1201",390
"1202",360
"1203",450
"1204",420
"1205",390
"1206",375
"1207",390
"1208",420
"1209",510
"1210",450
"1211",540
"1212",420
"1213",630
"1214",450
"1215",420
"1216",465
"1217",330
"1218",480
"1219",480
"1220",570
"1221",420
"1222",420
"1223",330
"1224",420
"1225",240
"1226",480
"1227",510
"1228",450
"1229",450
"1230",390
"1231",435
"1232",420
"1233",390
"1234",360
"1235",480
"1236",360
"1237",660
"1238",660
"1239",480
"1240",630
"1241",405
"1242",375
"1243",540
"1244",450
"1245",390
"1246",480
"1247",450
"1248",480
"1249",390
"1250",420
"1251",480
"1252",480
"1253",510
"1254",360
"1255",450
"1256",540
"1257",510
"1258",390
"1259",390
"1260",450
"1261",660
"1262",420
"1263",470
"1264",480
"1265",450
"1266",420
"1267",420
"1268",420
"1269",690
"1270",480
"1271",480
"1272",480
"1273",480
"1274",360
"1275",480
"1276",480
"1277",420
"1278",390
"1279",450
"1280",360
"1281",450
"1282",360
"1283",480
"1284",540
"1285",540
"1286",420
"1287",540
"1288",390
"1289",600
"1290",390
"1291",495
"1292",380
"1293",475
"1294",390
"1295",420
"1296",450
"1297",330
"1298",570
"1299",510
"1300",420
"1301",360
"1302",540
"1303",390
"1304",465
"1305",480
"1306",480
"1307",600
"1308",480
"1309",315
"1310",390
"1311",380
"1312",420
"1313",480
"1314",480
"1315",420
"1316",600
"1317",390
"1318",360
"1319",420
"1320",450
"1321",480
"1322",360
"1323",285
"1324",330
"1325",420
"1326",660
"1327",450
"1328",510
"1329",390
"1330",510
"1331",360
"1332",600
"1333",420
"1334",360
"1335",480
"1336",450
"1337",375
"1338",345
"1339",390
"1340",330
"1341",375
"1342",510
"1343",420
"1344",420
"1345",480
"1346",510
"1347",480
"1348",390
"1349",360
"1350",570
"1351",440
"1352",390
"1353",450
"1354",320
"1355",379
"1356",480
"1357",540
"1358",480
"1359",540
"1360",350
"1361",465
"1362",450
"1363",450
"1364",300
"1365",360
"1366",420
"1367",300
"1368",300
"1369",495
"1370",510
"1371",426
"1372",540
"1373",420
"1374",360
"1375",540
"1376",390
"1377",405
"1378",420
"1379",480
"1380",420
"1381",435
"1382",390
"1383",360
"1384",420
"1385",420
"1386",480
"1387",570
"1388",480
"1389",390
"1390",570
"1391",450
"1392",600
"1393",180
"1394",420
