"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM"
"210",0,150,0,30,325,1
"211",0,0,250,330,60,1
"212",212,85,0,157,728,1
"213",0,0,0,830,0,0
"214",0,0,0,405,0,0
"215",60,0,0,217,553,0
"216",10,45,0,11,972,4
"217",0,0,0,410,0,0
"218",0,120,0,90,730,1
"219",0,30,0,95,240,1
"220",0,570,0,255,570,0
"221",0,0,0,345,585,0
"222",0,0,0,185,310,2
"223",0,90,0,50,515,2
"224",0,0,0,370,0,0
"225",57,10,42,271,255,2
"226",0,0,0,630,0,0
"227",0,0,5,92,0,0
"228",0,0,0,14,495,3
"229",0,0,0,47,350,2
"230",0,50,0,0,760,1
"231",0,235,0,515,235,0
"232",0,630,0,240,630,0
"233",0,118,50,60,513,3
"234",60,35,0,70,515,1
"235",0,0,0,810,0,0
"236",0,0,0,911,0,0
"237",0,555,0,309,555,0
"238",70,545,0,145,545,0
"239",0,150,30,116,150,0
"240",0,0,0,240,285,0
"241",0,345,0,0,345,3
"242",0,220,0,180,220,0
"243",0,0,0,165,0,0
"244",0,0,0,210,286,2
"245",0,0,0,570,0,0
"246",0,120,0,0,790,2
"247",0,48,0,145,340,0
"248",0,30,0,900,30,0
"249",0,0,0,0,630,2
"250",0,485,0,115,740,0
"251",0,0,0,631,0,0
"252",0,220,0,270,860,1
"253",0,60,0,10,710,0
"254",150,0,0,465,0,0
"255",0,0,0,605,265,0
"256",0,160,0,272,180,0
"257",0,0,0,620,300,0
"258",0,335,0,150,660,0
"259",0,225,75,30,225,2
"260",0,0,0,350,0,0
"261",0,0,0,285,585,2
"262",0,0,0,740,0,0
"263",0,0,0,600,0,0
"264",0,0,30,215,69,2
"265",0,0,0,395,270,1
"266",0,0,30,90,480,0
"267",0,0,0,750,0,0
"268",0,0,0,985,30,3
"269",0,0,0,405,0,0
"270",0,0,0,488,175,2
"271",0,0,0,600,300,1
"272",330,0,70,195,0,1
"273",0,0,0,490,215,2
"274",0,0,0,600,240,2
"275",935,0,0,5,655,0
"276",0,0,0,730,0,0
"277",0,0,0,525,257,3
"278",0,0,0,40,0,0
"279",210,0,0,135,360,4
"280",30,0,0,350,40,1
"281",0,0,0,450,150,3
"282",0,0,0,345,0,1
"283",0,40,0,0,1105,1
"284",655,0,0,0,0,0
"285",0,0,0,291,0,0
"286",0,0,0,165,585,3
"287",0,0,0,40,650,2
"288",0,0,0,330,480,1
"289",0,0,6,159,0,0
"290",0,0,0,557,393,3
"291",0,0,0,60,0,0
"292",0,82,0,0,875,1
"293",0,0,0,45,630,1
"294",0,0,0,165,0,0
"295",840,0,0,0,0,0
"296",0,0,0,124,338,1
"297",0,0,0,0,570,2
"298",0,0,0,460,200,1
"299",0,0,0,279,0,0
"300",0,0,0,650,0,0
"301",0,0,0,165,555,0
"302",0,0,30,135,270,1
"303",0,0,0,665,0,0
"304",0,0,0,358,182,0
"305",15,20,6,58,65,3
"306",0,0,0,168,0,0
"307",10,49,40,195,230,0
"308",0,0,72,289,0,0
"309",0,0,0,710,0,0
"310",0,70,0,345,110,1
"311",15,0,0,835,0,0
"312",0,150,0,420,270,0
"313",0,90,0,90,724,2
"314",0,0,0,720,120,0
"315",0,0,0,305,0,0
"316",0,0,0,870,0,0
"317",0,0,0,375,685,0
"318",332,0,0,428,470,0
"319",0,0,0,440,165,0
"320",0,30,0,150,510,2
"321",0,0,0,835,0,0
"322",0,635,0,0,635,0
"323",0,0,0,470,30,0
"324",0,0,0,476,0,0
"325",0,0,95,210,0,2
"326",0,0,0,513,0,0
"327",0,765,0,120,810,1
"328",0,0,0,733,0,0
"329",0,60,0,285,165,1
"330",0,0,0,440,370,2
"331",0,0,0,205,135,3
"332",0,140,0,350,395,0
"333",0,0,0,272,525,0
"334",0,80,0,820,80,0
"335",0,150,60,85,150,0
"336",0,180,0,420,420,1
"337",0,0,0,170,0,1
"338",0,0,0,350,0,0
"339",0,280,0,300,280,0
"340",0,720,0,60,720,0
"341",0,0,0,510,45,0
"342",0,0,30,320,0,0
"343",0,420,0,460,420,0
"344",0,60,0,150,750,3
"345",0,0,0,75,30,1
"346",0,200,0,45,307,2
"347",0,425,0,350,425,0
"348",0,0,0,890,0,0
"349",0,0,0,220,560,1
"350",0,60,0,223,164,3
"351",0,560,0,0,870,0
"352",0,0,0,690,0,0
"353",0,0,0,265,575,2
"354",0,0,25,322,90,0
"355",0,810,0,30,960,1
"356",40,0,0,632,93,0
"357",0,0,0,615,0,0
"358",0,20,0,0,870,3
"359",145,0,0,462,0,0
"360",368,0,0,17,0,0
"361",30,90,0,60,810,2
"362",325,95,0,380,480,0
"363",696,0,0,0,0,0
"364",150,0,0,120,840,4
"365",285,0,0,525,0,0
"366",0,0,60,380,0,0
"367",0,0,0,420,0,0
"368",0,0,0,60,780,2
"369",0,175,60,105,250,1
"370",0,0,0,325,0,0
"371",0,173,0,205,310,2
"372",0,235,0,570,355,0
"373",0,0,0,90,810,3
"374",40,165,0,120,855,2
"375",0,0,0,535,215,3
"376",220,0,0,485,60,0
"377",0,0,15,234,121,3
"378",0,0,0,225,0,0
"379",0,0,0,80,325,2
"380",0,0,30,440,0,0
"381",0,0,0,570,0,0
"382",0,0,0,960,0,0
"383",45,0,0,30,820,1
"384",0,160,45,245,160,0
"385",0,10,0,575,130,1
"386",0,45,0,600,270,0
"387",0,185,50,215,185,0
"388",0,0,0,945,30,0
"389",0,0,0,185,0,1
"390",0,545,0,345,545,0
"391",0,0,0,533,277,2
"392",345,0,0,235,30,0
"393",0,0,0,30,1125,0
"394",0,0,0,885,30,0
"395",0,150,0,65,345,2
"396",210,150,0,400,255,0
"397",467,0,0,53,0,0
"398",0,0,0,870,0,0
"399",0,0,0,138,342,0
"400",0,0,0,840,0,0
"401",0,0,0,345,0,0
"402",0,90,30,200,90,0
"403",0,60,0,465,456,2
"404",0,450,0,180,450,0
"405",0,0,0,515,0,0
"406",0,0,0,550,0,1
"407",0,25,30,94,115,1
"408",0,55,20,185,120,2
"409",0,210,0,495,375,0
"410",0,60,95,30,115,2
"411",0,160,0,505,465,2
"412",0,0,0,201,519,5
"413",0,0,0,760,0,0
"414",0,0,0,645,185,0
"415",0,0,0,540,0,0
"416",0,0,0,100,873,2
"417",15,0,0,395,340,1
"418",0,0,0,870,0,0
"419",0,0,0,120,0,0
"420",0,580,0,0,675,0
"421",0,75,0,392,75,0
"422",0,0,0,680,0,0
