"Timestamp","flip [1]","flip [2]","flip [3]","flip [4]","flip [5]","flip [6]","flip [7]","flip [8]","flip [9]","flip [10]"
"2022/01/18 4:14:51 PM MST","tails","heads","heads","tails","tails","heads","heads","tails","heads","tails"
"2022/01/18 4:14:52 PM MST","tails","tails","heads","heads","heads","tails","tails","tails","tails","tails"
"2022/01/18 4:14:53 PM MST","heads","tails","heads","heads","heads","tails","tails","heads","heads","tails"
"2022/01/18 4:14:54 PM MST","tails","tails","heads","heads","tails","heads","heads","tails","heads","heads"
"2022/01/18 4:14:56 PM MST","heads","heads","heads","heads","heads","heads","heads","heads","heads","tails"
"2022/01/18 4:14:58 PM MST","heads","heads","heads","tails","tails","heads","tails","heads","heads","heads"
"2022/01/18 4:14:58 PM MST","heads","heads","tails","heads","heads","heads","tails","heads","heads","heads"
"2022/01/18 4:14:58 PM MST","tails","heads","tails","tails","tails","heads","tails","heads","tails","tails"
"2022/01/18 4:15:00 PM MST","heads","heads","heads","tails","heads","tails","tails","tails","heads","tails"
"2022/01/18 4:15:01 PM MST","tails","heads","heads","heads","tails","tails","heads","tails","heads","heads"
"2022/01/18 4:15:02 PM MST","heads","heads","heads","heads","tails","heads","tails","tails","heads","heads"
"2022/01/18 4:15:05 PM MST","heads","heads","tails","heads","tails","tails","heads","heads","heads","tails"
"2022/01/18 4:15:06 PM MST","heads","heads","heads","heads","tails","heads","heads","heads","heads","tails"
"2022/01/18 4:15:07 PM MST","tails","tails","tails","heads","tails","heads","tails","heads","tails","heads"
"2022/01/18 4:15:09 PM MST","heads","tails","heads","tails","heads","tails","tails","tails","tails","heads"
"2022/01/18 4:15:10 PM MST","tails","heads","heads","heads","tails","tails","tails","heads","tails","heads"
"2022/01/18 4:15:10 PM MST","heads","tails","tails","heads","heads","tails","heads","tails","tails","tails"
"2022/01/18 4:15:13 PM MST","heads","heads","heads","heads","tails","heads","heads","heads","heads","heads"
"2022/01/18 4:15:22 PM MST","heads","tails","tails","heads","heads","heads","heads","tails","heads","heads"
"2022/01/18 4:15:25 PM MST","heads","tails","heads","tails","heads","heads","heads","tails","heads","heads"
"2022/01/18 4:15:27 PM MST","tails","heads","tails","heads","tails","tails","heads","heads","tails","heads"
"2022/01/18 4:15:28 PM MST","tails","tails","heads","heads","tails","heads","tails","tails","heads","heads"
"2022/01/18 4:15:28 PM MST","tails","tails","heads","heads","tails","tails","heads","tails","tails","tails"
"2022/01/18 4:15:28 PM MST","tails","tails","heads","heads","heads","tails","heads","tails","heads","heads"
"2022/01/18 4:15:30 PM MST","heads","heads","tails","heads","tails","tails","tails","heads","tails","heads"
