"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM","TRERNHLY","TRERNWA","TUCC2","TUCC4"
"1514",0,0,0,155,875,3,20,1100,300,1320
"474",465,0,0,20,795,2,15,986.5,420,1290
"8331",323,0,0,487,0,0,27.8,92.3,570,1230
"332",0,140,0,350,395,0,16,480,390,1230
"2913",0,600,0,180,600,0,51.44,1800,510,1245
"474.1",465,0,0,20,795,2,19,2884.61,480,45
"3379",0,0,0,1020,0,0,13.5,1052.63,450,1380
"5858",0,270,0,165,645,2,18.5,600,540,1200
"8595",0,225,0,130,225,0,2.3,1240,600,1170
"2207",0,270,0,47,823,3,54,162,450,1260
"1289",0,50,15,146,402,3,40,136,300,1170
"1170",535,0,0,305,0,0,35,346,630,1410
"7583",0,569,0,80,629,0,22.75,2307.46,540,1350
"6293",0,285,0,165,285,0,19.5,800,540,1320
"2828",635,0,0,325,60,1,22.08,650,410,1275
"3361",0,0,0,120,160,0,9.8,480,450,1410
"3917",0,0,0,900,0,0,43,500,480,1170
"2222",0,210,0,330,210,1,9.15,1250,400,1245
"3852",0,0,0,765,135,0,19,1346.15,600,1260
"364",150,0,0,120,840,4,17,1000,360,1140
"7262",0,0,0,1130,10,1,26,2884.61,420,60
"2185",0,0,0,360,330,0,14,750,555,1260
"6723",0,0,0,690,0,0,31,1634.61,480,1410
"3047",0,45,0,0,840,2,42,1923.07,360,1380
"7988",0,315,0,60,710,1,14.5,1524.4,510,1260
"507",0,135,0,0,450,2,26.51,2200,510,1260
"4173",0,0,15,85,0,0,9,1750,390,1245
"6312.1",0,105,0,155,660,2,13,2596.15,510,1170
"1794",0,0,0,960,0,0,22.85,384.61,480,1170
"1214",0,0,0,610,0,0,43,1153.84,360,1200
"5288",0,0,0,525,120,0,15.85,1019.23,420,1200
"2686",0,535,0,95,655,0,28,971.15,390,1260
"4614",0,0,0,845,0,0,12,2500,450,1330
"2085",0,645,0,230,705,0,22,850,480,1380
"3680",0,0,0,1305,0,0,12.74,2384.61,420,0
"5959",0,0,0,140,328,1,10.8,140,420,1320
"2681",0,0,0,165,0,0,21,461.53,390,1260
"5107",0,100,0,135,187,1,10,1057.69,450,1140
"1088",0,0,0,83,136,2,27,2884.61,630,1200
"3774",0,70,0,35,860,2,11.5,2750,480,1320
"7530",0,0,0,775,30,0,18.41,160,370,1245
"1929",0,0,0,880,50,1,15,961.53,375,1335
"5933",0,0,0,915,0,0,24,360,480,1245
"3003",0,20,0,315,570,2,17.35,900,450,1290
"5285",0,95,0,185,255,2,18,1730.76,330,1320
